@relation train
@attribute b0 real
@attribute b1 real
@data
-0.08153420404840472,-0.012600744269836154
-0.15327264033723337,-0.09464777323997037
-0.15334745824072904,-0.09538515762343647
0.21098317469164288,-0.026164664182865185
-0.15315817044316846,-0.09481252688095472
-0.1516507079992656,-0.09425370517923468
-0.15338287630006864,-0.09455620215954676
-0.1533828763000687,-0.09455620215954667
-0.15364987188731116,-0.09529814296692589
-0.13055987994450965,-0.09646806133770068
-0.1533828763000687,-0.09455620215954667
-0.154206882023752,-0.09616331321140556
-0.14603864867102617,-0.0801301542777693
-0.07595343989525663,-0.09489218049787682
-0.15314986476524933,-0.09463397596433383
-0.07476045657436226,-0.0710722418768444
-0.15358135158915556,-0.09455280168254412
0.24998031603364165,-0.07666359809446913
-0.15377616611643585,-0.0948670791371921
-0.15381974732729373,-0.09617433742851722
-0.15317613559767768,-0.09484039672105475
-0.21216236604461775,-0.13733766211977533
-0.1519879226570332,-0.06556022966534686
-0.09488342117905744,-0.10372626749445966
-0.15360309702842134,-0.09546056002202427
-0.15338287630006864,-0.09455620215954665
-0.1441219648484869,-0.09488905628743431
-0.1535748535092548,-0.09487836925631066
-0.15141081688145872,-0.09460258117821739
-0.11926609084296795,-0.09454948883900854
-0.1384490517827681,-0.0932066042010916
0.0476024969936952,0.24127843651417413
-0.1150574666882999,-0.09517418039600774
1.8187590398160813,2.0489643658163494
-0.15303433886164472,-0.09478562593277746
-0.15299468837132435,-0.09485735117376289
-0.15333986033813926,-0.09461177451256189
-0.11443633341465118,-0.09421620586567737
-0.11245678627955684,-0.08002304514342352
-0.04130899921357574,-0.09554824071516797
0.7667361682990878,0.18460742759890492
-0.15111165436401705,-0.09288949667292032
-0.055162338500339796,-0.09421840600838886
-0.10399190456873884,-0.08567020182507351
-0.15116969902054345,-0.09359450885891783
-0.11949770446571296,-0.09581140805847761
-0.08975145145902337,-0.08645550647483091
-0.15158001155641038,-0.09294527809818498
-0.14953744091235008,-0.09493793552340656
-0.14608631194756164,-0.09482628279282063
-0.1527624200927711,-0.08710987179561877
-0.1533828763000687,-0.0945562021595467
