@relation train
@attribute b0 real
@attribute b1 real
@attribute b2 real
@data
-0.08153420404840472,-0.012600744269836131,0.039979562551487206
-0.15327264033723337,-0.09464777323997042,-0.13902041200881984
-0.15334745824072904,-0.09538515762343652,-0.13771877801457266
0.21098317469164288,-0.026164664182864908,0.5063331546740363
-0.15315817044316846,-0.09481252688095478,-0.13810371191304838
-0.1516507079992656,-0.09425370517923473,-0.13369606050337718
-0.15338287630006864,-0.09455620215954681,-0.139319437326771
-0.1533828763000687,-0.09455620215954673,-0.139319437326771
-0.15364987188731116,-0.09529814296692594,-0.13067889141772346
-0.13055987994450965,-0.09646806133770074,-0.11699523009174906
-0.1533828763000687,-0.09455620215954673,-0.139319437326771
-0.154206882023752,-0.0961633132114056,-0.09647154840192397
-0.14603864867102617,-0.08013015427776936,-0.13680824552989915
-0.07595343989525663,-0.09489218049787684,-0.0722978605794254
-0.15314986476524933,-0.09463397596433389,-0.12757486157690912
-0.07476045657436226,-0.07107224187684433,0.09055029478372188
-0.15358135158915556,-0.09455280168254418,-0.1338078424705655
0.24998031603364165,-0.07666359809446908,0.04196531251414195
-0.15377616611643585,-0.09486707913719215,-0.13979323879909375
-0.15381974732729373,-0.09617433742851726,-0.09490964057537699
-0.15317613559767768,-0.0948403967210548,-0.13664189992935924
-0.21216236604461775,-0.13733766211977547,-0.303384343470279
-0.1519879226570332,-0.06556022966534689,-0.08498864589661503
-0.09488342117905744,-0.10372626749445969,-0.07975243669832147
-0.15360309702842134,-0.09546056002202433,-0.12134900622160091
-0.15338287630006864,-0.0945562021595467,-0.13931943732677107
-0.1441219648484869,-0.09488905628743437,-0.12440818856850125
-0.1535748535092548,-0.09487836925631071,-0.13903160241910298
-0.15141081688145872,-0.09460258117821745,-0.1392268795320899
-0.11926609084296795,-0.09454948883900859,-0.1132921202180847
-0.1384490517827681,-0.09320660420109159,-0.009267506293730954
0.0476024969936952,0.24127843651417424,0.2325115856101357
-0.1150574666882999,-0.0951741803960078,-0.12191862545270059
1.8187590398160813,2.0489643658163614,23.072376328377377
-0.15303433886164472,-0.0947856259327775,-0.10889108033947575
-0.15299468837132435,-0.09485735117376294,-0.13649021268554715
-0.15333986033813926,-0.09461177451256195,-0.1390633077821004
-0.11443633341465118,-0.09421620586567743,-0.11831653091543673
-0.11245678627955684,-0.08002304514342355,-0.08022063250128826
-0.04130899921357574,-0.0955482407151678,0.2514185935473795
0.7667361682990878,0.184607427598906,2.0439641557062074
-0.15111165436401705,-0.09288949667292036,-0.10254930158259044
-0.055162338500339796,-0.09421840600838882,0.057503216678543016
-0.10399190456873884,-0.08567020182507352,-0.04363222330672701
-0.15116969902054345,-0.09359450885891789,-0.12454854127047113
-0.11949770446571296,-0.09581140805847764,-0.07554088293647757
-0.08975145145902337,-0.08645550647483093,-0.048913266321693565
-0.15158001155641038,-0.09294527809818502,-0.10128122688156103
-0.14953744091235008,-0.09493793552340661,-0.12554691730270245
-0.14608631194756164,-0.09482628279282068,-0.13896103906534635
-0.1527624200927711,-0.08710987179561883,-0.13708848374477517
-0.1533828763000687,-0.09455620215954676,-0.13931943732677113
0.5509008484343237,0.0892594062262851,0.31513210751016807
-0.017018480528101,-0.06666193448357938,0.10742474278682851
-0.1523656305189911,-0.0935814790044186,-0.11423308713288481
-0.11804693865380579,-0.095043120112415,-0.08021306817100816
-0.15523321769905385,-0.09684050567521814,-0.1164668747594516
-0.14743291794021393,-0.09298410318902976,-0.10080128480408061
-0.06185097084511408,-0.042781694189290884,0.0636971799351348
-0.14500504534824826,-0.0795039505083201,-0.1339895206532092
-0.14237144538523855,0.06846996172760983,-0.036081155700771646
